cod producto|linea|rubro|descripcion|pcio_lista|unidad|imagen
101.210|SANITARIOS|ABRAZADERAS|ABRAZADERA CREMALLERA N°10  90-110mm|349.18|(C/U)|101200
101.211|SANITARIOS|ABRAZADERAS|ABRAZADERA CREMALLERA Nº11  110-130mm|462.94|(C/U)|101200
101.212|SANITARIOS|ABRAZADERAS|ABRAZADERA CREMALLERA Nº12  120-140mm|462.94|(C/U)|101200
101.213|SANITARIOS|ABRAZADERAS|ABRAZADERA CREMALLERA Nº18  130-150mm|462.94|(C/U)|101200
101.214|SANITARIOS|ABRAZADERAS|ABRAZADERA CREMALLERA Nº19  140-160mm|514.04|(C/U)|101200
101.215|SANITARIOS|ABRAZADERAS|ABRAZADERA CREMALLERA Nº20  150-170mm|973.14|(C/U)|101200
101.216|SANITARIOS|ABRAZADERAS|ABRAZADERA CREMALLERA Nº21  160-180mm|1039.74|(C/U)|101200
101.217|SANITARIOS|ABRAZADERAS|ABRAZADERA CREMALLERA Nº22  170-190mm|1039.74|(C/U)|101200
101.218|SANITARIOS|ABRAZADERAS|ABRAZADERA CREMALLERA Nº23  180-200mm|1039.74|(C/U)|101200
101.219|SANITARIOS|ABRAZADERAS|ABRAZADERA CREMALLERA Nº24  190-210mm|1039.74|(C/U)|101200
101.300|SANITARIOS|ABRAZADERAS|ABRAZADERA DE TIPO 'U' 1/2'|144.98|(C/U)|101300
101.301|SANITARIOS|ABRAZADERAS|ABRAZADERA DE TIPO 'U' 3/4'|145.08|(C/U)|101300
101.302|SANITARIOS|ABRAZADERAS|ABRAZADERA DE TIPO 'U' 1'|127.98|(C/U)|101300
101.303|SANITARIOS|ABRAZADERAS|ABRAZADERA DE TIPO 'U' 1.1/4'|166.04|(C/U)|101300
101.304|SANITARIOS|ABRAZADERAS|ABRAZADERA DE TIPO 'U' 1.1/2'|167.22|(C/U)|101300
101.305|SANITARIOS|ABRAZADERAS|ABRAZADERA DE TIPO 'U' 2'|202|(C/U)|101300
101.306|SANITARIOS|ABRAZADERAS|ABRAZADERA DE TIPO 'U' 2.1/2'|216.84|(C/U)|101300
101.307|SANITARIOS|ABRAZADERAS|ABRAZADERA DE TIPO 'U' 3'|243.34|(C/U)|101300
101.308|SANITARIOS|ABRAZADERAS|ABRAZADERA DE TIPO 'U' 4'|280.64|(C/U)|101300
101.309|SANITARIOS|ABRAZADERAS|ABRAZADERA DE TIPO 'U' 6'|399.86|(C/U)|101300
101.400|SANITARIOS|ABRAZADERAS|ABRAZADERA CREMALLERA PERFECTO B1 (8-10mm)|153.3|(C/U)|101400
101.401|SANITARIOS|ABRAZADERAS|ABRAZADERA CREMALLERA PERFECTO B2 (10-12mm)|153.3|(C/U)|101400
101.402|SANITARIOS|ABRAZADERAS|ABRAZADERA CREMALLERA PERFECTO B3 (12-14mm)|155.8|(C/U)|101400
101.403|SANITARIOS|ABRAZADERAS|ABRAZADERA CREMALLERA PERFECTO B4 (14-16mm)|155.8|(C/U)|101400
101.404|SANITARIOS|ABRAZADERAS|ABRAZADERA CREMALLERA PERFECTO B5 (15-18mm)|155.8|(C/U)|101400
101.500|SANITARIOS|ABRAZADERAS|ABRAZADERA EUROPEA A (8.5-10mm)|331.251|(C/U)|101500
101.501|SANITARIOS|ABRAZADERAS|ABRAZADERA EUROPEA B (9.5-11.5mm)|348.255|(C/U)|101500
101.502|SANITARIOS|ABRAZADERAS|ABRAZADERA EUROPEA C (11-14mm)|380.301|(C/U)|101500
101.503|SANITARIOS|ABRAZADERAS|ABRAZADERA EUROPEA D (13-17mm)|3.28|(C/U)|101500
101.504|SANITARIOS|ABRAZADERAS|ABRAZADERA EUROPEA MANGUERA GAS 12-17mm|134.2|(C/U)|101504
102.100|SANITARIOS|ACCESORIOS PARA BAÑO|JABONERA LOZA CHICA COMPACTO (ABE1E)|2536.08|(C/U)|102100
102.101|SANITARIOS|ACCESORIOS PARA BAÑO|JABONERA LOZA GRANDE COMPACTO (ABE2E)|3133.72|(C/U)|102101
102.102|SANITARIOS|ACCESORIOS PARA BAÑO|PERCHA LOZA DOBLE COMPACTO (APE4E)|1561.88|(C/U)|102102
102.103|SANITARIOS|ACCESORIOS PARA BAÑO|PERCHA LOZA SIMPLE COMPACTO (APE3E)|1442.48|(C/U)|102103
102.104|SANITARIOS|ACCESORIOS PARA BAÑO|PORTA ROLLO BAÑO LOZA COMPACTO (ALE1E)|3924.76|(C/U)|102104
102.105|SANITARIOS|ACCESORIOS PARA BAÑO|PORTA VASO LOZA COMPACTO (AVE2E)|2694.24|(C/U)|102105
102.106|SANITARIOS|ACCESORIOS PARA BAÑO|TOALLERO LOZA INTEGRAL COMPACTO (ATE8E)|3450.82|(C/U)|102106
102.111|SANITARIOS|ACCESORIOS PARA BAÑO|JUEGO 7 PIEZAS LOZA COMPACTO (AJE7E)|24383.74|(C/U)|102111
102.120|SANITARIOS|ACCESORIOS PARA BAÑO|JUEGO 5 PIEZAS LOZA TRAFUL (AJD5E)|16197.98|(C/U)|102120
102.130|SANITARIOS|ACCESORIOS PARA BAÑO|JUEGO 5 PIEZAS LOZA BLANCO 'PRINGLES'|9704.64|(C/U)|102130
102.131|SANITARIOS|ACCESORIOS PARA BAÑO|JUEGO 8 PIEZAS LOZA BLANCO 'PRINGLES'|13224.7|(C/U)|102131
102.310|SANITARIOS|ACCESORIOS PARA BAÑO|TOALLERO PLASTICO CORTO|964.96|(C/U)|102310
102.311|SANITARIOS|ACCESORIOS PARA BAÑO|TOALLERO PLASTICO LARGO|1051.18|(C/U)|102310
102.320|SANITARIOS|ACCESORIOS PARA BAÑO|TOALLERO PLASTICO EXTENSIBLE|692.7|(C/U)|102320
102.321|SANITARIOS|ACCESORIOS PARA BAÑO|TOALLERO PLASTICO EXTENSIBLE BEIGE|1.660.166|(C/U)|102320
102.330|SANITARIOS|ACCESORIOS PARA BAÑO|JABONERA PLASTICA BLANCA|828.12|(C/U)|102330
102.340|SANITARIOS|ACCESORIOS PARA BAÑO|PORTA CEPILLO Y VASO PLASTICO|828.12|(C/U)|102340
102.350|SANITARIOS|ACCESORIOS PARA BAÑO|PORTA DENTIFRICO PLASTICO BLANCO MULTIUSO|1028.2|(C/U)|102350
102.360|SANITARIOS|ACCESORIOS PARA BAÑO|PERCHERO SIMPLE PLASTICO|390.9|(C/U)|102360
102.370|SANITARIOS|ACCESORIOS PARA BAÑO|PERCHERO DOBLE PLASTICO|1.332.902|(C/U)|102370
102.380|SANITARIOS|ACCESORIOS PARA BAÑO|PERCHERO TRIPLE PLASTICO|836.26|(C/U)|102380
102.390|SANITARIOS|ACCESORIOS PARA BAÑO|TOALLERO ARO CHICO PLASTICO|913.94|(C/U)|102390
102.400|SANITARIOS|ACCESORIOS PARA BAÑO|PORTA ROLLO BAÑO PLASTICO SOPLADO|184.68|(C/U)|102400
102.420|SANITARIOS|ACCESORIOS PARA BAÑO|PORTA ROLLO BAÑO PLASTICO INYECTADO|715.343|(C/U)|102420
102.430|SANITARIOS|ACCESORIOS PARA BAÑO|PORTA ROLLO COCINA PLASTICO|681.28|(C/U)|102430
102.440|SANITARIOS|ACCESORIOS PARA BAÑO|PORTA ROLLO BAÑO PLASTICO EXTERIOR|913.94|(C/U)|102440
102.450|SANITARIOS|ACCESORIOS PARA BAÑO|JUEGO 7 PIEZAS PLASTICO|4858.24|(C/U)|102450
102.510|SANITARIOS|ACCESORIOS PARA BAÑO|PERCHITAS CUELGATAZA BLANCA x 6 u.|336.8|BLISTER|102510
102.520|SANITARIOS|ACCESORIOS PARA BAÑO|MINI PERCHA BLANCA x 6 u.|304.62|BLISTER|102520
102.530|SANITARIOS|ACCESORIOS PARA BAÑO|PERCHA CUADRADA COLORES SURTIDOS x 16 u.|2026.64|BLISTER|102530
102.531|SANITARIOS|ACCESORIOS PARA BAÑO|PERCHA CUADRADA BLANCA x 16 u.|2328.56|BLISTER|102530
102.532|SANITARIOS|ACCESORIOS PARA BAÑO|PERCHA CUADRADA DECORADA x 16 u.|2418.7|BLISTER|102530
102.540|SANITARIOS|ACCESORIOS PARA BAÑO|PERCHA OVAL BLANCA x 16 u.|2151.14|BLISTER|102540
102.550|SANITARIOS|ACCESORIOS PARA BAÑO|TOPE ADHESIVO RECTANGULAR BLANCO x 12 u.|1225.48|BLISTER|102550
102.551|SANITARIOS|ACCESORIOS PARA BAÑO|TOPE ADHESIVO RECTANGULAR BEIGE x 12 u.|1225.48|BLISTER|102550
102.552|SANITARIOS|ACCESORIOS PARA BAÑO|TOPE ADHESIVO RECTANGULAR MADERA x 12 u.|1405.82|BLISTER|102550
102.560|SANITARIOS|ACCESORIOS PARA BAÑO|TOPE ADHESIVO REDONDO BLANCO x 12 u.|1136.56|BLISTER|102560
102.561|SANITARIOS|ACCESORIOS PARA BAÑO|TOPE ADHESIVO REDONDO BEIGE x 12 u.|1136.66|BLISTER|102560
102.562|SANITARIOS|ACCESORIOS PARA BAÑO|TOPE ADHESIVO REDONDO MADERA x 12 u.|1326.86|BLISTER|102560
102.570|SANITARIOS|ACCESORIOS PARA BAÑO|PERCHA AUTOADHESIVA CON 1 PITON  (2 u.)|366.32|BLISTER|102570
102.580|SANITARIOS|ACCESORIOS PARA BAÑO|PERCHA AUTOADHESIVA CON 2 PITONES|333.72|(C/U)|102580
102.590|SANITARIOS|ACCESORIOS PARA BAÑO|PERCHA AUTOADHESIVA CON 3 PITONES|409.28|(C/U)|102590
102.600|SANITARIOS|ACCESORIOS PARA BAÑO|PERCHA AUTOADHESIVA SOPAPA C/PITON 24 u.|1600.3|BOLSA|102600
102.610|SANITARIOS|ACCESORIOS PARA BAÑO|TOPE FIELTRO RECTANGULAR 3 x 2.5 cm x 9 u.|252.98|BLISTER|102610
102.620|SANITARIOS|ACCESORIOS PARA BAÑO|TOPE FIELTRO REDONDO 2.5 cm x 12 u.|289.32|BLISTER|102620
102.630|SANITARIOS|ACCESORIOS PARA BAÑO|TOPE FIELTRO RECTANGULAR 11 X 9 cm|280.14|BLISTER|102630
102.631|SANITARIOS|ACCESORIOS PARA BAÑO|TOPE FIELTRO RECTANGULAR  50 x 9 cm|949.02|(C/U)|102630
102.640|SANITARIOS|ACCESORIOS PARA BAÑO|ZOCALO AUTOADHESIVO BLANCO|340.92|(C/U)|102642
102.641|SANITARIOS|ACCESORIOS PARA BAÑO|ZOCALO AUTOADHESIVO GRIS|340.92|(C/U)|102642
102.642|SANITARIOS|ACCESORIOS PARA BAÑO|ZOCALO AUTOADHESIVO MARRON|340.92|(C/U)|102642
102.710|SANITARIOS|ACCESORIOS PARA BAÑO|JUEGO 5 PIEZAS BRONCE CROMO|7527.54|(C/U)|102720
102.715|SANITARIOS|ACCESORIOS PARA BAÑO|JUEGO 6 PIEZAS BRONCE CROMO|8788.72|(C/U)|102730
102.720|SANITARIOS|ACCESORIOS PARA BAÑO|JUEGO 7 PIEZAS BRONCE CROMO|17869.9|(C/U)|102720
102.740|SANITARIOS|ACCESORIOS PARA BAÑO|JUEGO 6 PIEZAS BRONCE CROMO IMPORTADO|13622.34|(C/U)|102740
102.750|SANITARIOS|ACCESORIOS PARA BAÑO|JUEGO 7 PIEZAS BRONCE CROMO IMPORTADO|9519.74|(C/U)|102750
102.760|SANITARIOS|ACCESORIOS PARA BAÑO|TOALLERO ARO BRONCE CROMO-CROMO|3615.2|(C/U)|102760
102.770|SANITARIOS|ACCESORIOS PARA BAÑO|TOALLERO BRONCE CROMO-CROMO|4661.74|(C/U)|102770
102.772|SANITARIOS|ACCESORIOS PARA BAÑO|TOALLERO DOBLE BRONCE CROMO|11310.96|(C/U)|102772
102.773|SANITARIOS|ACCESORIOS PARA BAÑO|TOALLERO TRIPLE BRONCE CROMO|20840.34|(C/U)|102773
102.780|SANITARIOS|ACCESORIOS PARA BAÑO|JABONERA BRONCE CROMO-CROMO|3708.04|(C/U)|102780
102.790|SANITARIOS|ACCESORIOS PARA BAÑO|JABONERA BRONCE CROMO Y VIDRIO|5604|(C/U)|102790
102.800|SANITARIOS|ACCESORIOS PARA BAÑO|PERCHA BRONCE CROMO-CROMO|2168.28|(C/U)|102800
102.810|SANITARIOS|ACCESORIOS PARA BAÑO|PORTA ROLLO BAÑO BRONCE CROMO-CROMO|2451.08|(C/U)|102810
102.820|SANITARIOS|ACCESORIOS PARA BAÑO|PORTA VASO BRONCE CROMO-CROMO|3044.38|(C/U)|102820
102.830|SANITARIOS|ACCESORIOS PARA BAÑO|BARRAL SEGURIDAD 25 cm BLANCO|1755.08|(C/U)|102830
102.831|SANITARIOS|ACCESORIOS PARA BAÑO|BARRAL SEGURIDAD 35 cm BLANCO|1824.36|(C/U)|102830
102.832|SANITARIOS|ACCESORIOS PARA BAÑO|BARRAL SEGURIDAD 45 cm BLANCO|1916.74|(C/U)|102830
102.833|SANITARIOS|ACCESORIOS PARA BAÑO|BARRAL SEGURIDAD 55 cm BLANCO|1986.02|(C/U)|102830
102.834|SANITARIOS|ACCESORIOS PARA BAÑO|BARRAL SEGURIDAD 85 cm BLANCO|2586.44|(C/U)|102830
102.835|SANITARIOS|ACCESORIOS PARA BAÑO|BARRAL SEGURIDAD 100 cm BLANCO|5591.38|(C/U)|102830
102.836|SANITARIOS|ACCESORIOS PARA BAÑO|BARRAL SEGURIDAD 45 CM BLANCO CURVO|4251.7|(C/U)|102836
102.839|SANITARIOS|ACCESORIOS PARA BAÑO|BARRAL SEGURIDAD 25 Ctm CROMO|2.262.113|(C/U)|
102.840|SANITARIOS|ACCESORIOS PARA BAÑO|BARRAL SEGURIDAD 35 Ctm CROMO|2.331.102|(C/U)|102840
102.841|SANITARIOS|ACCESORIOS PARA BAÑO|BARRAL SEGURIDAD 45 Ctm CROMO|2.425.508|(C/U)|102840
102.842|SANITARIOS|ACCESORIOS PARA BAÑO|BARRAL SEGURIDAD 55 Ctm CROMO|2.494.497|(C/U)|
102.843|SANITARIOS|ACCESORIOS PARA BAÑO|BARRAL SEGURIDAD 85 Ctm CROMO|3050.04|(C/U)|
102.845|SANITARIOS|ACCESORIOS PARA BAÑO|BARRAL SEGURIDAD 135 cm CURVO CROMO|10169.46|(C/U)|102850
102.860|SANITARIOS|ACCESORIOS PARA BAÑO|BARRAL SEGURIDAD REBATIBLE BLANCO 40|64.916.129|(C/U)|102860
102.861|SANITARIOS|ACCESORIOS PARA BAÑO|BARRAL SEGURIDAD REBATIBLE BLANCO 60|8082.6|(C/U)|
102.862|SANITARIOS|ACCESORIOS PARA BAÑO|BARRAL SEGURIDAD REBATIBLE BLANCO 80|4156.77|(C/U)|
102.910|SANITARIOS|ACCESORIOS PARA BAÑO|JABONERA ENREJADA CHICA|4319.28|(C/U)|102910
102.912|SANITARIOS|ACCESORIOS PARA BAÑO|JABONERA ENREJADA GRANDE|3960.48|(C/U)|102910
102.930|SANITARIOS|ACCESORIOS PARA BAÑO|ESQUINERO ENREJADO CHICO|15835.94|(C/U)|102930
103.100|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE 1/2' SIMIL DUKE PROFESIONAL|311.76|(C/U)|103300
103.101|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE 3/4' SIMIL DUKE PROFESIONAL|376.34|(C/U)|103300
103.102|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE  1'|786.7|(C/U)|103300
103.200|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE 1/2' SUPER|1006.94|(C/U)|103200
103.201|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE 3/4' SUPER|1463.98|(C/U)|103200
103.202|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE  1' SUPER|1947.66|(C/U)|103200
103.203|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE 1.1/4' SUPER|2434.62|(C/U)|103200
103.204|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE 1.1/2' SUPER|3161.94|(C/U)|103200
103.205|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE  2' SUPER|4370.56|(C/U)|103200
103.206|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE  2.1/2' SUPER|9548.18|(C/U)|103200
103.207|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE  3' SUPER|12599.7|(C/U)|103200
103.208|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE  4' SUPER|16873.8|(C/U)|103200
103.209|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE  6' SUPER|39637.22|(C/U)|103200
103.210|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE  8' SUPER|117619.72|(C/U)|103200
103.300|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE 1/2' (DUKE) PROFESIONAL|564.48|(C/U)|103300
103.301|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE 3/4' (DUKE) PROFESIONAL|697.82|(C/U)|103300
103.302|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE  1' (DUKE) STANDARD|964.34|(C/U)|103300
103.303|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE 1.1/4' (DUKE)   STANDARD|2412.42|(C/U)|103300
103.304|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE 1.1/2' (DUKE)  STANDARD|2995.72|(C/U)|103300
103.305|SANITARIOS|ACOPLES DE COMPRESION|ACOPLE RAPIDO DE  2' (DUKE)  STANDARD|3700.96|(C/U)|103300
104.100|SANITARIOS|ANODOSY BAJADA P/ TERMOTANQUE|ANODO MAGNESIO FIJO 500 mm ( 50/60 Lts )|4279.24|(C/U)|104100
104.101|SANITARIOS|ANODOSY BAJADA P/ TERMOTANQUE|ANODO MAGNESIO FIJO 650 mm ( 75 Lts. )|5496.68|(C/U)|104100
104.102|SANITARIOS|ANODOSY BAJADA P/ TERMOTANQUE|ANODO MAGNESIO FIJO 750 mm ( 85 Lts.)|6064.18|(C/U)|104100
104.103|SANITARIOS|ANODOSY BAJADA P/ TERMOTANQUE|ANODO MAGNESIO FIJO 1000 mm (110/120 Lts.)|7926.28|(C/U)|104100
104.105|SANITARIOS|ANODOSY BAJADA P/ TERMOTANQUE|ANODO MAGNESIO FIJO 1350 mm ( 130/150 Lts.)|10283.46|(C/U)|104100
104.106|SANITARIOS|ANODOSY BAJADA P/ TERMOTANQUE|ANODO MAG. RESI.BRA-METAL 25Ctm. R/ MACH. 6x1|4259.52|(C/U)|
104.107|SANITARIOS|ANODOSY BAJADA P/ TERMOTANQUE|ANODO MAG. RESIS.PHILCO/RAMSER 25Ctm. R/M 6x1|4259.52|(C/U)|104107
104.108|SANITARIOS|ANODOSY BAJADA P/ TERMOTANQUE|ANODO MAG. RESIS.SEÑORIAL 25Cmt. R/MACH. 5x0.8|4259.52|(C/U)|104108
104.109|SANITARIOS|ANODOSY BAJADA P/ TERMOTANQUE|ANODO MAG. RESIS.LONGVIE 45Ctm. R/MACH. 6x1|6389.3|(C/U)|104108
104.200|SANITARIOS|ANODOSY BAJADA P/ TERMOTANQUE|ANODO MAGNESIO ARTICUL. 410mm. 2 Ele 50/60 Lts|3302.64|(C/U)|104200
104.201|SANITARIOS|ANODOSY BAJADA P/ TERMOTANQUE|ANODO MAGNESIO ARTICUL. 650mm. 3 Ele.75/80Lts|5105.16|(C/U)|104200
104.202|SANITARIOS|ANODOSY BAJADA P/ TERMOTANQUE|ANODO MAGNESIO ARTICUL. 950mm. 4 Ele. 110/120 Lts|7287.46|(C/U)|104200
104.203|SANITARIOS|ANODOSY BAJADA P/ TERMOTANQUE|ANODO MAGNESIO ARTICUL. 120mm. 5 Ele 150 Lts|9119.1|(C/U)|104200
104.300|SANITARIOS|ANODOSY BAJADA P/ TERMOTANQUE|TUBO BAJADA PARA TERMOTANQUE 350 mm 50 lts|251|(C/U)|104300
104.301|SANITARIOS|ANODOSY BAJADA P/ TERMOTANQUE|TUBO BAJADA PARA TERMOTANQUE 570 mm 60/75 lts|271.52|(C/U)|104300
104.302|SANITARIOS|ANODOSY BAJADA P/ TERMOTANQUE|TUBO BAJADA PARA TERMOTANQUE 890 mm 85/110 lts|323.4|(C/U)|104300
104.303|SANITARIOS|ANODOSY BAJADA P/ TERMOTANQUE|TUBO BAJADA PARA TERMOTANQUE 1300 mm 120/150 lts|367.3|(C/U)|104300
106.100|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO CORTO H - FINO / M - FINO|782.66|(C/U)|106100
106.101|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO CORTO H - FINO / M - GRUESO|782.66|(C/U)|106100
106.102|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO CORTO H - FINO / M - CUADRADO|782.66|(C/U)|106100
106.103|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO CORTO H - GRUESO / M - FINO|782.66|(C/U)|106100
106.104|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO CORTO H - GRUESO / M - GRUESO|782.66|(C/U)|106100
106.105|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO CORTO H - GRUESO / M -CUADRADO|782.66|(C/U)|106100
106.106|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO CORTO H - CUADRADO / M - FINO|782.66|(C/U)|106100
106.107|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO CORTO H - CUADRADO / M -GRUESO|782.66|(C/U)|106100
106.108|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO CORTO H - CUADRADO / M - CUADRADO|782.66|(C/U)|106100
106.200|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO MEDIANO H - FINO / M - FINO|826.48|(C/U)|106200
106.201|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO MEDIANO H - FINO / M - GRUESO|826.48|(C/U)|106200
106.202|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO MEDIANO H - FINO / M - CUADRADO|826.48|(C/U)|106200
106.203|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO MEDIANO H - GRUESO / M - FINO|826.48|(C/U)|106200
106.204|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO MEDIANO H - GRUESO / M - GRUESO|826.48|(C/U)|106200
106.205|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO MEDIANO H - GRUESO / M - CUADRADO|826.48|(C/U)|106200
106.206|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO MEDIANO H - CUADRADO / M - FINO|826.48|(C/U)|106200
106.207|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO MEDIANO H - CUADRADO / M - GRUESO|826.48|(C/U)|106200
106.208|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO MEDIANO H-CUADRADO / M-CUADRADO|826.48|(C/U)|106200
106.300|SANITARIOS|ALARGUE PARA VASTAGOS|ALARGUE VASTAGO LARGO H - FINO / M - FINO|867.46|(C/U)|106300
